gene,gene_ID,chrom,strand,gene_start,gene_end,name
Nlrp9b,NM_194058,chr7,+,20008022,20062938,chr7-679
Vmn1r91,NM_001166736,chr7,+,20101157,20102081,chr7-683
Vmn1r143,NM_001166750,chr7,+,20193709,20194633,chr7-686
Vmn1r95,NM_001167538,chr7,+,20193709,20194633,chr7-686
Vmn1r100,NM_001166844,chr7,+,20417941,20418865,chr7-695
Vmn1r103,NM_001166737,chr7,-,20509616,20510534,chr7-699
Vmn1r152,NM_001166752,chr7,+,20533836,20534760,chr7-700
Vmn1r104,NM_001166738,chr7,+,20533836,20534760,chr7-700
Gm4541,NR_033693,chr7,+,20610883,20630341,chr7-703
Vmn1r107,NM_001166759,chr7,+,20668917,20669841,chr7-705
Vmn1r137,NM_001166849,chr7,+,20668917,20669841,chr7-705
Vmn1r155,NM_001166753,chr7,+,20668917,20669841,chr7-705
Vmn1r165,NM_001166850,chr7,+,20668917,20669841,chr7-705
Vmn1r130,NM_001166848,chr7,+,20668917,20669841,chr7-705
Vmn1r112,NM_001166847,chr7,+,20771184,20772078,chr7-709
Vmn1r113,NM_001166716,chr7,+,20787284,20788208,chr7-710
Vmn1r114,NM_001166837,chr7,-,20811220,20812186,chr7-711
Vmn1r115,NM_001166745,chr7,-,20844097,20844985,chr7-712
Vmn1r116,NM_001166744,chr7,+,20872255,20873179,chr7-713
Vmn1r117,NM_001166743,chr7,-,20883197,20884121,chr7-714
Vmn1r119,NM_001166708,chr7,-,21011531,21012455,chr7-719
Vmn1r120,NM_001166715,chr7,-,21052866,21053784,chr7-721
Vmn1r121,NM_001166741,chr7,-,21097568,21098513,chr7-722
Vmn1r122,NM_001166714,chr7,-,21133210,21134128,chr7-724
Vmn1r123,NM_001166707,chr7,+,21162184,21163108,chr7-725
Vmn1r125,NM_001166740,chr7,+,21272178,21273102,chr7-729
Vmn1r124,NM_001166757,chr7,-,21259693,21260617,chr7-729
Vmn1r126,NM_001166838,chr7,-,21300501,21301467,chr7-731
Vmn1r127,NM_001166726,chr7,-,21318943,21319861,chr7-731
Vmn1r128,NM_001166739,chr7,+,21349372,21350296,chr7-732
Vmn1r129,NM_001166725,chr7,-,21360367,21361291,chr7-733
Vmn1r132,NM_001122682,chr7,+,21612744,21615146,chr7-743
Vmn1r139,NM_001166748,chr7,+,21614091,21614985,chr7-743
Vmn1r163,NM_001166755,chr7,+,21832350,21833274,chr7-751
Vmn1r135,NM_001166747,chr7,+,21832350,21833274,chr7-751
Vmn1r240,NM_001167148,chr7,-,22117321,22118245,chr7-762
Gm16451,NM_001167149,chr7,-,22117321,22118245,chr7-762
Vmn1r250,NM_001167573,chr7,-,22133775,22134741,chr7-763
Vmn1r93,NM_207547,chr7,-,22133775,22134741,chr7-763
Vmn1r142,NM_001166749,chr7,-,22163117,22164035,chr7-764
Vmn1r94,NM_001166723,chr7,-,22163117,22164035,chr7-764
Vmn1r251,NM_001167152,chr7,-,22200340,22201264,chr7-766
Vmn1r241,NM_001167153,chr7,-,22200340,22201264,chr7-766
Vmn1r252,NM_001167150,chr7,-,22228563,22229484,chr7-767
Vmn1r242,NM_001167151,chr7,-,22228563,22229484,chr7-767
Vmn1r118,NM_001166742,chr7,-,22228563,22229484,chr7-767
Vmn1r253,NM_001167159,chr7,-,22328793,22329717,chr7-771
Vmn1r243,NM_001167158,chr7,-,22328793,22329717,chr7-771
Vmn1r254,NM_001166751,chr7,-,22370121,22371039,chr7-772
Vmn1r244,NM_001166713,chr7,-,22370121,22371039,chr7-772
Vmn1r-ps79,NR_030707,chr7,-,22352262,22354555,chr7-772
Vmn1r148,NM_030736,chr7,+,22412230,22414668,chr7-774
Vmn1r101,NM_001166836,chr7,-,22437305,22438229,chr7-775
Vmn1r149,NM_001166840,chr7,-,22437305,22438229,chr7-775
Gm10665,NM_001167160,chr7,-,22463109,22464075,chr7-776
Gm10670,NM_001167161,chr7,-,22463109,22464075,chr7-776
Vmn1r151,NM_001166712,chr7,-,22498760,22499678,chr7-777
Vmn1r255,NM_001167147,chr7,-,22533963,22534887,chr7-779
Vmn1r245,NM_001167146,chr7,-,22533963,22534887,chr7-779
Vmn1r256,NM_001167162,chr7,-,22564422,22565343,chr7-780
Vmn1r246,NM_001167163,chr7,-,22564422,22565343,chr7-780
LOC101055864,NM_001324551,chr7,-,22582078,22588127,chr7-781
Gm4565,NM_001324552,chr7,-,22582078,22588127,chr7-781
Vmn1r257,NM_001167154,chr7,-,22691396,22692317,chr7-785
Gm10668,NM_001370900,chr7,-,22713597,22719710,chr7-786
Gm4567,NM_001037248,chr7,-,22713597,22719710,chr7-786
Vmn1r157,NM_001166754,chr7,+,22761696,22762590,chr7-788
Vmn1r158,NM_001166841,chr7,-,22789858,22790782,chr7-789
Vmn1r159,NM_001166758,chr7,-,22842687,22843605,chr7-791
Vmn1r160,NM_001166724,chr7,+,22871223,22872147,chr7-792
Vmn1r258,NM_001167164,chr7,-,22983728,22984673,chr7-797
Vmn1r247,NM_001167165,chr7,-,22983728,22984673,chr7-797
Vmn1r259,NM_001167166,chr7,-,23019005,23019923,chr7-798
Vmn1r248,NM_001167167,chr7,-,23019005,23019923,chr7-798
Vmn1r260,NM_001166756,chr7,-,23066532,23067456,chr7-800
Vmn1r249,NM_001166711,chr7,-,23066532,23067456,chr7-800
Gm10662,NM_001201364,chr7,-,23132622,23144478,chr7-803
Gm5891,NM_001034904,chr7,-,23132622,23144480,chr7-803
Vmn1r131,NM_001166839,chr7,-,23250761,23251682,chr7-808
Vmn1r111,NM_001166746,chr7,-,23250761,23251682,chr7-808
Vmn1r138,NM_001167169,chr7,-,23250761,23251682,chr7-808
Vmn1r166,NM_001167168,chr7,-,23250761,23251682,chr7-808
Gm6902,NM_001270494,chr7,-,23272787,23275243,chr7-809
Nlrp4e,NM_001004194,chr7,+,23301191,23362277,chr7-810
Nlrp5,NM_011860,chr7,+,23385888,23441923,chr7-813
Vmn1r167,NM_001101562,chr7,-,23504641,23505589,chr7-818
Vmn1r168,NM_001166842,chr7,+,23540719,23541649,chr7-819
Vmn1r169,NM_001166843,chr7,+,23577184,23578099,chr7-821
Vmn1r170,NM_001166722,chr7,+,23606174,23607089,chr7-822
Vmn1r171,NM_030737,chr7,+,23631987,23633568,chr7-823
Vmn1r172,NM_030735,chr7,+,23658315,23660663,chr7-824
Vmn1r173,NM_001166718,chr7,+,23702341,23703283,chr7-826
Vmn1r174,NM_207548,chr7,+,23753910,23754852,chr7-828
Vmn1r175,NM_001166727,chr7,-,23808285,23809200,chr7-830
Vmn1r176,NM_001166721,chr7,-,23834811,23835726,chr7-831
Vmn1r177,NM_206872,chr7,-,23865519,23866449,chr7-832
Vmn1r178,NM_206868,chr7,+,23893528,23894443,chr7-833
Vmn1r179,NM_207545,chr7,+,23928385,23929357,chr7-835
Vmn1r180,NM_206869,chr7,+,23952386,23953356,chr7-836
Vmn1r181,NM_207546,chr7,+,23983960,23985048,chr7-837
V1rd18,NM_207618,chr7,+,24003090,24004247,chr7-838
V1rd19,NM_207619,chr7,+,24003110,24004028,chr7-838
Vmn1r183,NM_203489,chr7,+,24054773,24055691,chr7-840
Zfp180,NM_001289641,chr7,+,24081896,24107708,chr7-841
Zfp112,NM_021307,chr7,+,24112319,24127952,chr7-842
Zfp235,NM_019941,chr7,+,24132371,24143244,chr7-843
Zfp114,NM_001029933,chr7,+,24175021,24183170,chr7-845
Zfp111,NM_019940,chr7,-,24193214,24208149,chr7-846
Zfp109,NM_020262,chr7,-,24227794,24237598,chr7-847
Zfp93,NM_001360227,chr7,+,24267983,24277794,chr7-848
Zfp108,NM_018791,chr7,+,24254793,24262444,chr7-848
Zfp61,NM_009561,chr7,-,24291045,24299549,chr7-849
Zfp94,NM_009568,chr7,-,24301703,24316666,chr7-850
Lypd5,NM_029806,chr7,+,24349195,24354247,chr7-851
Tescl,NM_001163810,chr7,-,24333079,24333965,chr7-851
Kcnn4,NM_001163510,chr7,+,24370262,24385212,chr7-852
Smg9,NM_028047,chr7,+,24399627,24422777,chr7-853
Irgc1,NM_199013,chr7,-,24431925,24445682,chr7-855
Plaur,NM_011113,chr7,+,24462482,24475968,chr7-856
Cadm4,NM_153112,chr7,+,24482022,24504533,chr7-857
Zfp428,NR_110958,chr7,+,24507086,24515682,chr7-858
Irgq,NM_153134,chr7,+,24530647,24538600,chr7-859
Xrcc1,NM_001360170,chr7,+,24546698,24560683,chr7-859
Pinlyp,NM_001037143,chr7,-,24541657,24546005,chr7-859
Ethe1,NM_023154,chr7,+,24587542,24608925,chr7-861
Zfp575,NM_001033205,chr7,-,24583837,24587641,chr7-861
Phldb3,NM_001102613,chr7,+,24611327,24629297,chr7-862
Lypd3,NM_133743,chr7,+,24636569,24641118,chr7-863
Gm4598,NR_030681,chr7,+,24661293,24663109,chr7-864
Tex101,NM_019981,chr7,-,24668011,24672050,chr7-864
Lypd10,NM_199150,chr7,+,24709258,24714535,chr7-866
Lypd11,NM_001362151,chr7,-,24715030,24726908,chr7-867
Cd177,NM_026862,chr7,-,24743982,24760311,chr7-868
Ceacam10,NM_007675,chr7,+,24777203,24784655,chr7-869
Gm5893,NR_045096,chr7,+,24818794,24840275,chr7-870
Dmrtc2,NM_027732,chr7,+,24870056,24877651,chr7-872
Lypd4,NM_182785,chr7,-,24864619,24869691,chr7-872
Cd79a,NM_007655,chr7,+,24897496,24901858,chr7-873
Rps19,NM_001360116,chr7,+,24884675,24889811,chr7-873
Arhgef1,NM_001130150,chr7,+,24902985,24926591,chr7-874
Gm4881,NM_001370804,chr7,-,24926958,24944771,chr7-875
Mir7046,NR_106013,chr7,-,24970009,24970075,chr7-876
Rabac1,NM_010261,chr7,-,24969749,24972728,chr7-876
Mir7047,NR_106014,chr7,-,24987603,24987667,chr7-877
Atp1a3,NM_001290469,chr7,-,24978168,25005937,chr7-878
Grik5,NM_008168,chr7,-,25009850,25072369,chr7-880
Zfp574,NM_001168506,chr7,+,25075673,25083492,chr7-881
Mir6537,NR_105855,chr7,-,25097065,25097175,chr7-881
Pou2f2,NM_001163554,chr7,-,25091114,25132460,chr7-883
D930028M14Rik,NR_045848,chr7,+,25155068,25156630,chr7-884
Zfp526,NM_175436,chr7,+,25221424,25227495,chr7-886
Mir7048,NR_106015,chr7,-,25217667,25217725,chr7-886
Dedd2,NM_207677,chr7,-,25202839,25219859,chr7-886
9130221H12Rik,NR_046001,chr7,+,25228722,25230264,chr7-887
Gsk3a,NM_001031667,chr7,-,25228258,25237851,chr7-887
Cic,NM_001302811,chr7,+,25267698,25294159,chr7-888
Erf,NM_010155,chr7,-,25242559,25250758,chr7-888
Pafah1b3,NM_001357350,chr7,-,25295048,25297986,chr7-889
Prr19,NM_001081294,chr7,+,25301358,25304133,chr7-890
Megf8,NM_001160400,chr7,+,25317163,25365917,chr7-890
Tmem145,NM_183311,chr7,+,25306107,25316195,chr7-890
Cnfn,NM_028219,chr7,-,25367615,25369724,chr7-892
4732471J01Rik,NR_073027,chr7,+,25376818,25439536,chr7-893
Lipe,NM_010719,chr7,-,25379526,25395987,chr7-893
Cxcl17,NM_153576,chr7,-,25400052,25412886,chr7-894
Ceacam1,NM_001039187,chr7,-,25461701,25477625,chr7-897
Ceacam2,NM_007543,chr7,-,25516041,25540004,chr7-899
Dmac2,NM_025504,chr7,+,25619492,25625550,chr7-902
Erich4,NM_001039243,chr7,-,25614619,25615853,chr7-902
B3gnt8,NM_146184,chr7,+,25627623,25629490,chr7-903
Exosc5,NM_138586,chr7,+,25659152,25668032,chr7-904
Bckdha,NM_007533,chr7,-,25629851,25658761,chr7-904
Tgfb1,NM_011577,chr7,+,25687001,25705077,chr7-905
B9d2,NM_172148,chr7,+,25681157,25686562,chr7-905
Tmem91,NM_177102,chr7,-,25669139,25675166,chr7-905
Ccdc97,NM_001368382,chr7,-,25711112,25719035,chr7-906
Hnrnpul1,NM_001360789,chr7,-,25721160,25754759,chr7-908
Axl,NM_001190974,chr7,-,25756499,25788733,chr7-909
Cyp2s1,NM_028775,chr7,-,25802468,25816525,chr7-910
Cyp2b10,NM_009999,chr7,+,25897657,25926624,chr7-913
Cyp2b13,NM_007813,chr7,+,26061494,26096196,chr7-920
Cyp2b9,NM_010000,chr7,+,26173408,26210660,chr7-924
Vmn1r184,NM_001167540,chr7,+,26266830,26267775,chr7-928
Cyp2a4,NM_009997,chr7,+,26307191,26315088,chr7-930
Nlrp9c,NM_001042612,chr7,-,26364690,26403700,chr7-934
Nlrp4a,NM_172896,chr7,+,26435112,26476142,chr7-935
Nlrp9a,NM_001302792,chr7,+,26535022,26574146,chr7-939
Vmn1r185,NM_134231,chr7,-,26611118,26612078,chr7-942
Cyp2b23,NM_001081148,chr7,-,26665226,26686430,chr7-945
Cyp2b19,NM_007814,chr7,+,26757141,26772630,chr7-948
Cyp2g1,NM_013809,chr7,+,26808926,26821197,chr7-950
Cyp2a5,NM_007812,chr7,+,26835338,26843264,chr7-951
Cyp2a22,NM_001101467,chr7,-,26931630,26939386,chr7-955
Cyp2a12,NM_133657,chr7,+,27029089,27036815,chr7-959
Cyp2f2,NM_007817,chr7,+,27119954,27133660,chr7-962
Cyp2t4,NM_001100184,chr7,+,27153713,27158564,chr7-964
Egln2,NM_053208,chr7,-,27158657,27166802,chr7-964
BC024978,NM_001243888,chr7,+,27195780,27204320,chr7-965
Mir3101,NR_037283,chr7,-,27176005,27176093,chr7-965
Snrpa,NM_015782,chr7,-,27187005,27196271,chr7-965
Mia,NM_019394,chr7,-,27179740,27181149,chr7-965
Rab4b,NM_029391,chr7,-,27168432,27178883,chr7-965
Mir1191,NR_035422,chr7,+,27205535,27205655,chr7-966
Coq8b,NM_133770,chr7,+,27233012,27257949,chr7-967
Itpkc,NM_181593,chr7,-,27207169,27228617,chr7-967
Numbl,NM_010950,chr7,+,27258760,27282150,chr7-968
Ltbp4,NM_175641,chr7,-,27305140,27337612,chr7-971
Shkbp1,NM_138676,chr7,-,27342132,27356008,chr7-972
Blvrb,NM_144923,chr7,+,27447977,27465981,chr7-975
Sptbn4,NM_032610,chr7,-,27356382,27446589,chr7-975
Sertad3,NM_133210,chr7,+,27473839,27477364,chr7-976
Sertad1,NM_018820,chr7,+,27486952,27490314,chr7-977
Prx,NM_019412,chr7,+,27499323,27520041,chr7-977
Hipk4,NM_001033315,chr7,+,27523260,27531174,chr7-978
2310022A10Rik,NM_175107,chr7,+,27553289,27582098,chr7-980
Pld3,NM_011116,chr7,-,27531999,27553218,chr7-980
Akt2,NM_001331108,chr7,+,27596829,27640826,chr7-981
Ttc9b,NM_028417,chr7,+,27653923,27656207,chr7-984
Zfp607b,NM_198417,chr7,+,27674660,27706482,chr7-984
Map3k10,NM_001290528,chr7,-,27656374,27674581,chr7-984
Zfp60,NM_029531,chr7,+,27731408,27751689,chr7-987
Gm10046,NR_033484,chr7,+,27765672,27770972,chr7-988
Zfp626,NM_027703,chr7,+,27807195,27822916,chr7-990
Zfp59,NM_011762,chr7,+,27838583,27856774,chr7-991
Zfp607a,NM_001024726,chr7,+,27860584,27880825,chr7-992
Zfp974,NM_028538,chr7,-,27905413,27929458,chr7-995
Zfp780b,NM_001081021,chr7,-,27959799,27979157,chr7-997
Zfp850,NM_001254951,chr7,-,27984470,28014115,chr7-998
Fcgbp,NM_001122603,chr7,+,28071235,28120864,chr7-1000
Psmc4,NM_011874,chr7,-,28041701,28050092,chr7-1000
9530053A07Rik,NM_001164655,chr7,+,28129465,28164811,chr7-1003
Fbl,NM_007991,chr7,+,28169747,28179269,chr7-1004
Dyrk1b,NM_010092,chr7,+,28179482,28187298,chr7-1005
Eid2,NM_198425,chr7,+,28267880,28269168,chr7-1008
Eid2b,NM_001177427,chr7,+,28277705,28280129,chr7-1009
Selenov,NM_175033,chr7,-,28284651,28291186,chr7-1009
Timm50,NM_025616,chr7,-,28305825,28312046,chr7-1010
Dll3,NM_007866,chr7,-,28293554,28301785,chr7-1010
Supt5,NM_013676,chr7,-,28314895,28338719,chr7-1011
AF357399,NR_028129,chr7,+,28351539,28351633,chr7-1012
Rps16,NM_013647,chr7,+,28350688,28352698,chr7-1012
Plekhg2,NM_001290542,chr7,-,28359603,28372662,chr7-1012
Paf1,NM_019458,chr7,+,28392995,28399383,chr7-1013
Zfp36,NM_011756,chr7,-,28376783,28379228,chr7-1013
Med29,NM_026042,chr7,-,28385246,28392690,chr7-1013
Gmfg,NM_001039192,chr7,+,28440936,28446895,chr7-1015
Samd4b,NM_175021,chr7,-,28399521,28436191,chr7-1015
Lrfn1,NM_001141921,chr7,+,28452237,28467548,chr7-1016
Mir466f-2,NR_030567,chr7,+,28452226,28482345,chr7-1016
1700028B04Rik,NR_033605,chr7,+,28496940,28497492,chr7-1017
Ifnl3,NM_177396,chr7,+,28522835,28524322,chr7-1018
Ifnl2,NM_001024673,chr7,-,28508860,28510360,chr7-1018
Sycn,NM_026716,chr7,+,28540884,28542210,chr7-1019
Nccrp1,NM_001081115,chr7,-,28543595,28547079,chr7-1019
Mir7049,NR_106016,chr7,-,28560924,28560984,chr7-1020
Pak4,NM_027470,chr7,-,28558818,28598184,chr7-1021
Acp7,NM_175319,chr7,-,28607321,28630913,chr7-1023
Fbxo27,NM_001163702,chr7,+,28693143,28699337,chr7-1025
Fbxo17,NM_015796,chr7,+,28716789,28738140,chr7-1026
Sars2,NM_023637,chr7,+,28741967,28753879,chr7-1027
Mrps12,NM_001360252,chr7,-,28739640,28741821,chr7-1027
Sirt2,NM_001122765,chr7,+,28766751,28788665,chr7-1028
Ccer2,NM_001195091,chr7,+,28756173,28758964,chr7-1028
Nfkbib,NM_001306222,chr7,-,28759037,28766644,chr7-1028
Rinl,NM_001358916,chr7,+,28788968,28798965,chr7-1029
Gm19897,NR_040339,chr7,-,28774898,28781514,chr7-1029
Hnrnpl,NM_177301,chr7,+,28810889,28822266,chr7-1030
Ech1,NM_016772,chr7,+,28825337,28832239,chr7-1031
Lgals4,NM_010706,chr7,+,28833793,28841703,chr7-1031
Lgals6,NM_010707,chr7,+,28834169,28841700,chr7-1031
Lgals7,NM_008496,chr7,+,28864385,28866284,chr7-1032
Capn12,NM_001110807,chr7,+,28881655,28893585,chr7-1033
Actn4,NM_001360550,chr7,-,28893247,28962332,chr7-1036
Map4k1,NM_008279,chr7,+,28982853,29003278,chr7-1037
Eif3k,NM_028659,chr7,-,28971371,28981888,chr7-1037
Mir1963,NR_035489,chr7,-,29083635,29083694,chr7-1041
Rasgrp4,NR_045676,chr7,+,29134932,29153955,chr7-1043
Ryr1,NM_009109,chr7,-,29003339,29125151,chr7-1043
Ggn,NM_182694,chr7,+,29170209,29173933,chr7-1044
Fam98c,NM_001146023,chr7,-,29152509,29156210,chr7-1044
Spred3,NM_182927,chr7,-,29158828,29168647,chr7-1044
Psmd8,NM_026545,chr7,-,29174186,29180673,chr7-1045
Catsperg1,NM_001164658,chr7,-,29181531,29214033,chr7-1046
Yif1b,NM_001110201,chr7,+,29238322,29247532,chr7-1047
2200002D01Rik,NM_028179,chr7,-,29247520,29248467,chr7-1047
Kcnk6,NM_001033525,chr7,-,29221927,29232522,chr7-1047
Ppp1r14a,NM_026731,chr7,+,29289319,29293390,chr7-1049
Spint2,NM_011464,chr7,-,29256329,29281977,chr7-1049
Dpf1,NM_013874,chr7,+,29304004,29317586,chr7-1050
Sipa1l3,NM_001081028,chr7,-,29320377,29505460,chr7-1058
Catsperg2,NM_029714,chr7,-,29697218,29727032,chr7-1067
Mir1964,NR_035490,chr7,+,29773293,29773376,chr7-1068
Zfp84,NM_023750,chr7,+,29768551,29781419,chr7-1068
Zfp30,NM_013705,chr7,+,29783967,29794703,chr7-1069
Zfp790,NM_001145880,chr7,+,29816071,29832042,chr7-1070
Zfp420,NM_172740,chr7,+,29859978,29877302,chr7-1072
Zfp940,NM_173738,chr7,-,29843935,29853648,chr7-1072
Mir7668,NR_106128,chr7,+,29906508,29906567,chr7-1074
Zfp383,NM_001243908,chr7,+,29908516,29916813,chr7-1074
Zfp27,NM_001285798,chr7,-,29893336,29906532,chr7-1074
Zfp74,NM_178384,chr7,-,29932790,29954065,chr7-1076
Zfp568,NM_001167873,chr7,+,29983954,30028282,chr7-1077
Zfp82,NM_001252519,chr7,-,30056033,30072823,chr7-1080
Zfp14,NM_178733,chr7,-,30036358,30051396,chr7-1080
Zfp260,NM_011981,chr7,+,30095075,30107614,chr7-1081
Zfp566,NM_152814,chr7,-,30077336,30090510,chr7-1081
Zfp382,NM_001362159,chr7,+,30121931,30140755,chr7-1082
Gm5113,NR_157376,chr7,+,30169874,30182324,chr7-1084
Zfp146,NM_011980,chr7,-,30160486,30169741,chr7-1084
Cox7a1,NM_009944,chr7,+,30184170,30186030,chr7-1085
Capns1,NM_009795,chr7,-,30186933,30195153,chr7-1085
Polr2i,NM_027259,chr7,+,30232073,30233387,chr7-1087
Ovol3,NM_001289817,chr7,-,30233296,30236765,chr7-1087
Tbcb,NM_001360649,chr7,-,30224128,30232197,chr7-1087
Clip3,NM_001081114,chr7,+,30291694,30308367,chr7-1089
LOC108167416,NR_144498,chr7,+,30280093,30290237,chr7-1089
Wdr62,NR_152437,chr7,-,30240137,30280421,chr7-1089
Syne4,NM_153577,chr7,+,30314815,30319045,chr7-1090
Alkbh6,NM_198027,chr7,+,30308752,30314303,chr7-1090
Sdhaf1,NM_001033140,chr7,-,30321408,30322375,chr7-1090
Lrfn3,NM_175478,chr7,-,30355513,30362772,chr7-1092
Tyrobp,NM_011662,chr7,+,30413781,30417579,chr7-1094
Nfkbid,NM_001360906,chr7,+,30421730,30428746,chr7-1094
Hcst,NM_011827,chr7,-,30417711,30419854,chr7-1094
Aplp1,NM_007467,chr7,-,30434979,30445582,chr7-1095
Nphs1,NM_019459,chr7,+,30460057,30488609,chr7-1096
Nphs1os,NR_004443,chr7,-,30462163,30465591,chr7-1096
Kirrel2,NM_172898,chr7,-,30447765,30457515,chr7-1096
Prodh2,NM_019546,chr7,+,30493657,30513402,chr7-1097
Arhgap33os,NR_036630,chr7,+,30515121,30522193,chr7-1098
Arhgap33,NM_001289682,chr7,-,30522225,30535060,chr7-1099
Hspb6,NR_157095,chr7,+,30552539,30555443,chr7-1100
Gm38670,NR_128568,chr7,+,30552827,30552904,chr7-1100
U2af1l4,NM_170760,chr7,+,30563339,30565364,chr7-1100
Igflr1,NM_145580,chr7,+,30565426,30567962,chr7-1100
Lin37,NM_001290569,chr7,-,30555440,30559646,chr7-1100
Psenen,NM_001364016,chr7,-,30561865,30563627,chr7-1100
Proser3,NM_183321,chr7,-,30539133,30552272,chr7-1100
Mir3569,NR_106134,chr7,+,30589379,30589437,chr7-1101
Kmt2b,NM_029274,chr7,-,30568854,30588726,chr7-1101
Zbtb32,NR_153655,chr7,-,30589680,30598909,chr7-1101
Upk1a,NM_026815,chr7,-,30603091,30612734,chr7-1102
Cox6b1,NM_025628,chr7,-,30616970,30626114,chr7-1103
Etv2,NM_007959,chr7,-,30633615,30635852,chr7-1103
Haus5,NM_027999,chr7,-,30653707,30664994,chr7-1104
Pmis2,NR_027848,chr7,-,30670721,30671605,chr7-1104
Rbm42,NM_133693,chr7,-,30640994,30650228,chr7-1104
2200002J24Rik,NM_026961,chr7,+,30698925,30700534,chr7-1105
Atp4a,NM_001290627,chr7,+,30712208,30725534,chr7-1106
Tmem147,NM_027215,chr7,-,30727700,30729534,chr7-1107
Gapdhs,NM_001290631,chr7,-,30729778,30743681,chr7-1107
Dmkn,NM_001166174,chr7,+,30763755,30781066,chr7-1108
Sbsn,NM_172205,chr7,+,30751470,30756134,chr7-1108
Krtdap,NM_001033131,chr7,+,30787904,30791089,chr7-1109
Ffar2,NM_146187,chr7,-,30818356,30823775,chr7-1110
Ffar1,NM_194057,chr7,-,30860567,30861470,chr7-1112
Ffar3,NM_001033316,chr7,-,30854329,30856178,chr7-1112
Cd22,NM_001043317,chr7,-,30865403,30880342,chr7-1113
Mag,NM_001346088,chr7,-,30899180,30914922,chr7-1114
Hamp2,NM_183257,chr7,-,30922371,30924181,chr7-1114
Hamp,NM_032541,chr7,-,30942368,30944029,chr7-1115
Fam187b,NR_038860,chr7,+,30973803,30989725,chr7-1116
Lsr,NM_017405,chr7,-,30957769,30973469,chr7-1116
Usf2,NM_011680,chr7,-,30945247,30956803,chr7-1116
Mir7050,NR_106017,chr7,-,31040257,31040317,chr7-1119
Fxyd5,NM_001287213,chr7,-,31032722,31042331,chr7-1119
Lgi4,NM_144556,chr7,+,31059934,31070935,chr7-1120
Fxyd1,NM_019503,chr7,-,31051677,31055656,chr7-1120
Fxyd7,NM_022007,chr7,-,31042514,31051454,chr7-1120
Fxyd3,NM_008557,chr7,-,31070534,31076697,chr7-1121
Hpn,NM_008281,chr7,-,31098724,31115326,chr7-1122
Scn1b,NM_011322,chr7,-,31116523,31127023,chr7-1123
Gm10640,NR_046062,chr7,+,31162357,31170641,chr7-1124
Gramd1a,NM_027898,chr7,-,31130126,31151171,chr7-1124
Scgb2b1,NM_001310660,chr7,+,31263735,31265935,chr7-1128
Scgb1b2,NM_020563,chr7,-,31290518,31291816,chr7-1129
Scgb2b2,NM_207262,chr7,+,31302768,31304977,chr7-1130
Scgb2b3,NM_001270541,chr7,-,31359037,31362100,chr7-1132
Scgb1b3,NM_001256073,chr7,+,31375591,31376916,chr7-1133
Scgb1b7,NM_001270542,chr7,+,31712664,31713980,chr7-1146
Scgb2b7,NM_001198871,chr7,-,31703778,31705754,chr7-1146
Scgb2b11,NM_001310657,chr7,-,32209172,32211142,chr7-1166
Scgb1b12,NM_001310633,chr7,+,32334181,32335501,chr7-1171
Scgb2b12,NM_001281508,chr7,-,32325285,32327245,chr7-1171
Scgb1b29,NM_001256066,chr7,+,32441540,32442844,chr7-1175
Scgb1b17,NM_001370878,chr7,+,32836569,32837751,chr7-1191
Scgb1b15,NM_001370879,chr7,+,32836569,32837751,chr7-1191
Scgb2b17,NM_001281524,chr7,-,33054581,33056552,chr7-1200
Scgb2b15,NM_001281523,chr7,-,33054581,33056552,chr7-1200
Scgb2b18,NM_001310621,chr7,-,33171891,33173861,chr7-1204
Scgb1b19,NM_001281526,chr7,+,33287306,33288491,chr7-1209
Scgb2b19,NM_001199336,chr7,-,33278365,33280341,chr7-1209
Scgb1b20,NM_001270543,chr7,+,33373233,33374558,chr7-1212
Scgb2b20,NM_001009952,chr7,-,33364342,33366319,chr7-1212
Scgb2b21,NM_001310615,chr7,-,33518487,33520455,chr7-1218
Scgb2b23-ps,NR_045685,chr7,-,33625144,33653281,chr7-1224
Scgb1b24,NM_001099329,chr7,+,33743782,33745106,chr7-1227
Scgb2b24,NM_177446,chr7,-,33737192,33739295,chr7-1227
Scgb2b26,NM_178308,chr7,-,33942996,33944985,chr7-1235
Scgb1b27,NM_009596,chr7,+,34021480,34022881,chr7-1238
Scgb2b27,NM_001100464,chr7,-,34011918,34013942,chr7-1238
Scgb1b30,NM_001099330,chr7,+,34095430,34100837,chr7-1241
Wtip,NM_207212,chr7,-,34109549,34133268,chr7-1243
Uba2,NM_016682,chr7,-,34140696,34168529,chr7-1244
Pdcd2l,NM_001360710,chr7,-,34184496,34196670,chr7-1245
Gpi1,NM_008155,chr7,-,34201326,34230336,chr7-1247
4931406P16Rik,NM_172741,chr7,-,34236713,34285609,chr7-1249
Lsm14a,NM_001360655,chr7,-,34344143,34389705,chr7-1253
Kctd15,NM_001360818,chr7,-,34636998,34655509,chr7-1264
Chst8,NM_175140,chr7,-,34674467,34812711,chr7-1270
Pepd,NM_008820,chr7,+,34912406,35044708,chr7-1274
Cebpg,NM_009884,chr7,-,35046421,35056566,chr7-1280
Cebpa,NM_001287523,chr7,+,35119292,35121928,chr7-1282
Slc7a10,NM_017394,chr7,+,35186384,35201111,chr7-1285
